battery score	model
2453	iPhone8,1 (N71AP)
2211	iPhone8,1 (N71AP)
2536	iPhone8,1 (N71AP)
2443	iPhone8,1 (N71AP)
2313	iPhone8,1 (N71AP)
1470	iPhone8,1 (N71AP)
2458	iPhone8,1 (N71AP)
2481	iPhone8,1 (N71AP)
2137	iPhone8,1 (N71AP)
2338	iPhone8,1 (N71AP)
2400	iPhone8,1 (N71AP)
2505	iPhone8,1 (N71AP)
2508	iPhone8,1 (N71AP)
2496	iPhone8,1 (N71AP)
2420	iPhone8,1 (N71AP)
2388	iPhone8,1 (N71AP)
2390	iPhone8,1 (N71AP)
2411	iPhone8,1 (N71AP)
2801	iPhone8,1 (N71AP)
2263	iPhone8,1 (N71AP)
2460	iPhone8,1 (N71AP)
2466	iPhone8,1 (N71AP)
2285	iPhone8,1 (N71AP)
3391	iPhone8,1 (N71mAP)
3441	iPhone8,1 (N71mAP)
3287	iPhone8,1 (N71mAP)
3291	iPhone8,1 (N71mAP)
3215	iPhone8,1 (N71mAP)
3293	iPhone8,1 (N71mAP)
1955	iPhone7,2
1475	iPhone7,2
1606	iPhone7,2
1935	iPhone7,2
2073	iPhone7,2
1940	iPhone7,2
2161	iPhone7,2
1864	iPhone7,2
2003	iPhone7,2
1968	iPhone7,2
2362	iPhone7,2
1888	iPhone7,2
2168	iPhone7,2
1823	iPhone7,2
2096	iPhone7,2
2176	iPhone7,2
1918	iPhone7,2
1918	iPhone7,2
2011	iPhone7,2
2362	iPhone7,2
2085	iPhone7,2
1693	iPhone7,2
1606	iPhone7,2
1883	iPhone7,2
1905	iPhone7,2
1955	iPhone7,2
1866	iPhone7,2
1790	iPhone7,2
1678	iPhone7,2
1976	iPhone7,2
1833	iPhone7,2
1988	iPhone7,2
2100	iPhone7,2
1936	iPhone7,2
1936	iPhone7,2
2031	iPhone7,2
2156	iPhone7,2
1895	iPhone7,2
1874	iPhone7,2
1596	iPhone7,2
2186	iPhone7,2
1958	iPhone7,2
1895	iPhone7,2
2268	iPhone7,2
2167	iPhone7,2
1961	iPhone7,2
1871	iPhone7,2
1548	iPhone7,2
2205	iPhone7,2
2268	iPhone7,2
2045	iPhone7,2
1443	iPhone7,2
1908	iPhone7,2
1905	iPhone7,2
1975	iPhone7,2
2095	iPhone7,2
1740	iPhone7,2
2151	iPhone7,2
1886	iPhone7,2
1873	iPhone7,2
2053	iPhone7,2
2175	iPhone7,2
1553	iPhone7,2
1943	iPhone7,2
1826	iPhone7,2
2001	iPhone7,2
2031	iPhone7,2
1756	iPhone7,2
1948	iPhone7,2
2021	iPhone7,2
2031	iPhone7,2
1815	iPhone7,2
2017	iPhone7,2
1768	iPhone7,2
2138	iPhone7,2
1731	iPhone7,2
1956	iPhone7,2
2093	iPhone7,2
 767	iPhone7,2
2088	iPhone7,2
2006	iPhone7,2
1886	iPhone7,2
2235	iPhone7,2
2242	iPhone7,2
1836	iPhone7,2
2315	iPhone7,2
2341	iPhone7,2
2190	iPhone7,2
1995	iPhone7,2
1972	iPhone7,2
1958	iPhone7,2
1836	iPhone7,2
2066	iPhone7,2
1563	iPhone7,2
1961	iPhone7,2
1965	iPhone7,2
2115	iPhone7,2
1695	iPhone7,2
1841	iPhone7,2
1776	iPhone7,2
1202	iPhone7,2
2053	iPhone7,2
2088	iPhone7,2
3050	iPhone7,2
2913	iPhone7,2
1675	iPhone7,2
1405	iPhone7,2
1811	iPhone7,2
1726	iPhone7,2
1989	iPhone7,2
2021	iPhone7,2
1510	iPhone7,2
1716	iPhone7,2
3010	iPhone7,2
1790	iPhone7,2
3048	iPhone7,2
1856	iPhone7,2
1960	iPhone7,2
1751	iPhone7,2
3373	iPhone8,1
2291	iPhone8,1
3265	iPhone8,1
3138	iPhone8,1
3270	iPhone8,1
2120	iPhone8,1
2625	iPhone8,1
2453	iPhone8,1
2586	iPhone8,1
2531	iPhone8,1
2393	iPhone8,1
3608	iPhone8,1
3400	iPhone8,1
2446	iPhone8,1
3490	iPhone8,1
2335	iPhone8,1
2313	iPhone8,1
2255	iPhone8,1
2313	iPhone8,1
2366	iPhone8,1
2361	iPhone8,1
3133	iPhone8,1
2102	iPhone8,1
2480	iPhone8,1
2220	iPhone8,1
3136	iPhone8,1
3468	iPhone8,1
3418	iPhone8,1
2563	iPhone8,1
2271	iPhone8,1
2364	iPhone8,1
2340	iPhone8,1
2425	iPhone8,1
3411	iPhone8,1
3030	iPhone8,1